Tag	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA-CG-4305-01	0.0714563241205193	0	0	0.0947613472803016	0	0.114245872011447	0.172333018973434	0.00402190044789611	0.0122659764217747	0.077709543677084	0.00312178878414703	0	0.000802535621886389	0.0256993466662841	0.12105874653695	0.242621101683005	0.00941104705507709	0	0.0437524479844101	0	0	0.00673900273578274	0	0.443873920736429	0.895246975384509
TCGA-CG-4306-01	0.011285855293097	0	0.0363033286582128	0.0368127669758746	0	0.209162930644408	0.0681983878760874	0.000531155325643593	0.0122995775870012	0	0.0577577085225816	0	0.00374889434819812	0.110840160839997	0.0303991571668721	0.115843758247186	0.0140494687815723	0.0138245334783088	0	0.218435237482455	0	0.0605070787725044	0.02	0.261506835842202	0.987014726051312
TCGA-CG-4436-01	0.071995019166368	0	0.00846382999500318	0	0	0.168370099457624	0.133700963371636	0.00117547301670456	0	0.0126551566435877	0.0124766065925975	0	0	0.15136738398653	0.0575890316237337	0.0846425136897521	0	0	0	0.13613648276627	0.0223706052739308	0.139056834416263	0.33	0.0549850722978098	1.07642534495039
TCGA-CG-4437-01	0.0640218496444477	0	0.0616734230654748	0.160675309034395	0	0.105112507011454	0.0949705970103528	0.0292906228168356	0.0358546222559866	0	0	0.0485779618397887	0.00822235225318391	0.0287315493570236	0.0769975619108975	0.188235585393791	0.0155869602104528	0	0.0335258228332684	0	0	0.0485232753626483	0	0.343524161006944	0.940483742416011
TCGA-CG-4438-01	0.0108169999483925	0	0	0.124317039607318	0	0.0571447640842234	0.208339036912093	0.0298812086987646	0.00221610104227264	0.0483697192877231	0	0.0268074698643903	0	0.0716833152484988	0.126030234070704	0.184326655929709	0.018903082912357	0	0.0709782900499411	0	0.020186082343612	0	0.02	0.267354648002022	0.978414934088546
TCGA-CG-4440-01	0	0.00883931424849203	0	0	0	0.2641137859131	0	0.000376407527580112	0.00497392730165496	0.0262027509858702	0.0463496405678682	0	0	0.089334212689502	0.0910670137491172	0.242219084799945	0.00100193688245031	0.0260890723447739	0.0539682265651261	0.0019783368211994	0.0122550385322604	0.13123125107106	0.16	0.101297985460789	1.05798162288246
TCGA-CG-4441-01	0.0401746986423166	0	0.0529276180432374	0.0374153876010243	0	0.183816099978873	0.0251405569426983	0	0.0369284332544035	0	0	0.0420318499181659	0	0.228064643811772	0.075867141836243	0.139919397239608	0	0	0	0.059518691524948	0	0.0781954812067105	0.05	0.159770441352518	1.03137873071134
TCGA-CG-4443-01	0.102219996762424	0	0.0119485501395323	0	0.00129718811783101	0.117902761516562	0.00692867193195744	0.000945080944340199	0.0571907243647449	0	0.0575149976036117	0	0.0470120260176378	0.14796010890652	0	0.385383859434892	0	0	0	0.0636960342599473	0	0	0.18	0.0937931255266396	1.06666345011542
TCGA-CG-4444-01	0.0768335556380907	0	0.041764392217443	0.0335643866788269	0	0.260193385259888	0.0365935272887793	0	0.0448339384178067	0.00504278263048563	0	0	0.00505613854011753	0.039465651759263	0.0551397698509968	0.249323411812105	0.0147924040497417	0.00616570591701242	0	0.0872611971264834	0	0.0439697528129603	0.02	0.233280866473071	0.987850917441324
TCGA-CG-4460-01	0.093383762893911	0	0.0824567845625639	0.0381137792515521	0	0.213509407527285	0.0191580221655645	0.0203853259903725	0.013260790945541	0	0.0107062895875201	0	0.000905391953351885	0.120747625824029	0.0773366127840334	0.179677007787079	0.00310929503864008	0	0	0.0988128950305751	0.0187108945522838	0.00972611410569714	0.02	0.251332193756598	0.980360564576132
TCGA-CG-4465-01	0.0366677596426832	0	0.0114624125895618	0.0450793564148311	0	0.142905844261003	0.0521698213589009	0.00358853735349109	0.0555697898238936	0	0.00961651634857342	0	0	0.0803750837855981	0.125372422901082	0.332647112355748	0.0186922499427731	0	0.0017405963187803	0.0201935363063603	0	0.0639189605967203	0.07	0.120066776318045	1.05135520686294
TCGA-CG-4466-01	0.0679230081960565	0	0	0	0	0.339459920564213	0.136122535875025	0.00912759656467452	0	0	0.0634734871818168	0	0	0.102112663308618	0.082319424220774	0.0603955148403718	0	0.00926119637406685	0	0.051612306028854	0	0.078192346845529	0.36	0.0428115585336622	1.07485648177887
TCGA-CG-4469-01	0.0420387208670719	0	0.00360619274320142	0	0	0.179653503970481	0.00834550714760722	0.0183583395607421	0.0187799723888864	0	0.00728819909549907	0.00334751928505091	0	0.106246629218545	0.051331930213512	0.295477028174364	0.0457154256171665	0.0346410226554682	0	0.0995611077049942	0	0.0856089013574108	0.02	0.254267260807453	0.988922998559204
TCGA-CG-4475-01	0.0454800124256799	0	0.0162759335262545	0	0	0.27183860713053	0	0	0	0	0.0301925523282986	0	0.00170798029803243	0.124795348152617	0.00216005008506515	0.0900526990305873	0	0.0557421156996572	0	0.221267328961806	0.0603237688264627	0.0801636035350091	0.03	0.169154001213142	1.03319642218391
