Tag	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-IN-A6RS-01	689.0306	3765.8738	4454.9044
TCGA-IN-A7NR-01	958.7686	3430.7504	4389.519
TCGA-IN-A7NT-01	931.3808	1858.7141	2790.0949
TCGA-IN-A7NU-01	1964.053	3903.498	5867.551
TCGA-IN-AB1V-01	-911.0422	1805.9229	894.8807
TCGA-IN-AB1X-01	432.6973	4281.2003	4713.8976
TCGA-IP-7968-01	2364.615	3200.99	5565.605
TCGA-KB-A6F7-01	290.6027	4043.8171	4334.4198
TCGA-KB-A93G-01	4380.338	4228.327	8608.665
TCGA-KB-A93H-01	-1013.2408	1763.5476	750.3068
TCGA-KB-A93J-01	1234.553	4376.319	5610.873
TCGA-MX-A5UG-01	4296.542	5717.01	10013.552
TCGA-MX-A5UJ-01	2228.481	2851.3	5079.782
TCGA-MX-A663-01	3321.63	2465.162	5786.792
TCGA-MX-A666-01	46.77149	2532.22151	2578.993
TCGA-R5-A7O7-01	1364.344	3303.571	4667.914
TCGA-R5-A7ZE-01	-879.3063	620.617	-258.6894
TCGA-R5-A7ZF-01	-785.5692	1093.3639	307.7947
TCGA-R5-A7ZI-01	1249.18	5231.984	6481.164
TCGA-R5-A7ZR-01	-316.7675	2150.506	1833.7385
TCGA-R5-A805-01	2829.138	5133.359	7962.497
TCGA-RD-A7BS-01	2071.874	4099.661	6171.535
TCGA-RD-A7BT-01	-549.7078	2324.6103	1774.9025
TCGA-RD-A7BW-01	4346.4	5313.135	9659.535
TCGA-RD-A7C1-01	1938.112	4986.443	6924.555
TCGA-RD-A8MV-01	1847.413	5574.312	7421.725
TCGA-RD-A8MW-01	3384.279	5018.81	8403.089
TCGA-RD-A8N0-01	3275.436	5922.397	9197.833
TCGA-RD-A8N1-01	2618.146	5712.916	8331.062
TCGA-RD-A8N2-01	3254.084	3483.309	6737.393
TCGA-RD-A8N4-01	2842.45	3653.608	6496.058
TCGA-RD-A8N5-01	3950.231	4452.911	8403.142
TCGA-RD-A8N6-01	1288.402	1656.433	2944.835
TCGA-RD-A8N9-01	3974.999	4336.836	8311.835
TCGA-RD-A8NB-01	2563.851	4577.767	7141.618
TCGA-SW-A7EA-01	1255.043	3079.601	4334.644
TCGA-SW-A7EB-01	585.8892	3356.0292	3941.9184
TCGA-VQ-A8DT-01	-533.4073	1978.6826	1445.2753
TCGA-VQ-A8DU-01	1063.127	2298.649	3361.776
TCGA-VQ-A8DV-01	-512.0307	798.4113	286.3806
TCGA-VQ-A8DZ-01	809.2383	2259.4686	3068.7069
TCGA-VQ-A8E0-01	206.0275	2966.2544	3172.2819
TCGA-VQ-A8E2-01	1984.344	2065.939	4050.283
TCGA-VQ-A8E3-01	505.8074	3914.5384	4420.3458
TCGA-VQ-A8E7-01	868.8021	1602.5821	2471.3842
TCGA-VQ-A8P2-01	-514.0903	1040.995	526.9047
TCGA-VQ-A8P3-01	1636.59	2589.68	4226.27
TCGA-VQ-A8P5-01	1818.149	2907.608	4725.757
TCGA-VQ-A8P8-01	1921.032	3722.936	5643.968
TCGA-VQ-A8PB-01	1221.894	2444.051	3665.945
TCGA-VQ-A8PC-01	2065.773	4271.31	6337.083
TCGA-VQ-A8PD-01	2642.008	5510.319	8152.327
TCGA-VQ-A8PE-01	823.1093	3103.591	3926.7003
TCGA-VQ-A8PF-01	2985.323	5815.621	8800.944
TCGA-VQ-A8PH-01	-431.4187	2554.926	2123.5073
