Tag	T cells	CD8 T cells	Cytotoxic lymphocytes	B lineage	NK cells	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA-BR-A4J9-01	2.11111067099172	1.42703124122561	0.908473728687123	3.43484926389404	0.284602958365577	2.2117537291232	1.37234135140729	1.55787457283986	3.07475632666974	8.08923291101455
TCGA-BR-A4PF-01	2.49994125765687	3.8225800523916	1.67153966074341	0.889497797894575	0.758438992202852	4.00422317265318	1.24996695508557	3.26394541538404	2.08689168620165	5.64065801786827
TCGA-BR-A4QL-01	1.26473038080297	2.09594926169399	1.0729024199917	0.487868289239405	0.238752064700127	1.5829543258792	0.509780504349014	0.963327870204311	1.23975906303765	5.05363730969735
TCGA-CD-5798-01	1.56652366527454	2.00503992554377	1.00255318732163	0.847265449232445	0.369789932081345	3.24175976079199	2.61747389551411	1.76657669683527	3.10806451098196	8.9824561961201
TCGA-CD-5799-01	0.939590793890472	0.652112375743015	0.698564495989335	0.600983477524487	0.094752516611064	2.11846148532071	0.599752058380784	1.70826195368996	2.57618124928711	6.94858850927498
TCGA-CD-5800-01	1.73267502600848	3.3871581136117	0.921759832349298	2.42956337392061	0.302267660115458	2.51957639249363	1.05456621769769	2.3168362287805	2.65926812515784	6.59911643580231
TCGA-CD-5801-01	2.95228677977264	4.79817245000051	2.48595817933857	1.34688570506578	0.719992060086185	3.2986527290549	1.43544228250705	1.36805128613212	1.71674702565569	5.66511469267533
TCGA-CD-5803-01	3.99524585689663	4.75111846752877	2.64716662316913	4.56670042081853	0.630984873727419	4.27238632225546	3.1848156083652	1.69438338507671	4.12613528466957	8.94707595767556
TCGA-CD-5813-01	2.93526394275516	3.57333712383766	1.86133196936587	3.67912274649795	0.410935509141423	4.08523100450915	2.70388029854272	1.82859541778889	4.17496786249145	8.09292080624244
TCGA-CD-8524-01	2.1286780710412	2.8513445593927	1.63379980796139	2.13447295989756	0.421606512178403	3.15572075155617	1.37122482308244	1.94023507571615	3.37001337341585	7.39140449836051
TCGA-CD-8525-01	2.08863617577791	3.40346617183999	1.92072121541764	3.10303107272431	0.763002936492024	3.203313961559	1.22288268389619	1.71647878956279	2.63701450178032	6.44803271215769
TCGA-CD-8526-01	2.68082678405812	2.80878922147909	1.50706302192276	3.10405832901035	0.519265127504021	3.18906813685002	2.56235338383661	2.02699916123891	3.55126179568285	6.59315526126871
TCGA-CD-8527-01	1.53616943872845	2.64577833088395	1.2361241795962	0.828404621494314	0.307173201292242	3.1008815640811	0.589608595281882	1.64233109086833	2.13990188923532	6.21269180970178
TCGA-CD-8528-01	1.22593716682333	0.773279438590721	1.138754299709	0.727793021800794	0.363611871411138	3.57417217261663	1.179577949771	2.33008692150983	2.44799357640639	7.17253609156127
TCGA-CD-8529-01	3.0399767794427	2.86412890727271	2.01427658667767	4.39287152117681	0.705530423693517	4.66253818170271	2.33550982493628	2.04200867681399	3.92389775273095	7.89248971427265
TCGA-CD-8530-01	1.93967406221035	1.98708103083004	1.28182954805317	2.39958231400884	0.636451866904842	3.09122448332154	2.20037782374605	1.97383208545396	4.31585829025612	8.16706843274087
TCGA-CD-8531-01	1.55425537166812	0.937615691608725	0.801855535775502	6.3948780146893	0.137764268739365	3.51821218418615	1.61158654894592	1.46742041545768	2.54888689645409	6.90038797212875
TCGA-CD-8532-01	3.47993510309487	3.08147967594616	1.51875390218987	2.99821891636244	0.551834551032607	3.79429638246592	2.83375658888294	2.16250763004054	2.98112494973917	6.73287731225629
TCGA-CD-8533-01	1.88763398522128	1.15362825035207	0.684710238612817	1.88672289416288	0.500865073874144	2.54856662595423	1.25586002031831	2.18269630109327	2.97937141842245	6.77035948818989
TCGA-CD-8534-01	2.00047394911325	1.46285344270932	1.12318019460044	2.25163644126025	0.62056941134451	2.53518039445061	1.50173077901756	1.84020155774731	2.87989242710448	6.04526901358686
TCGA-CD-8535-01	1.30353565516021	0.158701317557063	0.813017646699398	1.6212758320671	0.305752525023414	2.32092299067116	0.670722054080899	1.68778026947744	2.63812799094473	6.55310872677615
TCGA-CD-A486-01	1.42964487328344	1.43772671014778	0.726149413777303	1.11671778410596	0.145282705516729	3.230189516806	0.649999250552078	2.53259608556472	2.41195902641704	6.79908570550363
