Tag	dynamicColors	mergedColors
PATJ	blue	cyan
CCL18	magenta	magenta
UNG	brown	brown
TIMM22	brown	brown
RPLP0	brown	brown
GAMT	turquoise	turquoise
C6orf226	grey	grey
E2F3	green	cyan
RUSC2	turquoise	turquoise
DZIP1	turquoise	turquoise
HRH2	magenta	magenta
PIR	grey	grey
HSPA8	black	cyan
RNF166	red	magenta
TTC9	grey	grey
PPP6R3	blue	cyan
ASAH1	magenta	magenta
PXDC1	pink	turquoise
OSM	magenta	magenta
SCT	grey	grey
EFNA5	grey	grey
EBNA1BP2	brown	brown
SUZ12	green	cyan
METRN	grey	grey
SLIT3	turquoise	turquoise
MS4A6A	magenta	magenta
CHST15	turquoise	turquoise
PPP1R10	black	cyan
PEAK3	red	magenta
MAP3K7	blue	cyan
SFRP1	turquoise	turquoise
ZBTB12	black	cyan
SLC16A8	yellow	cyan
BNIP3L	blue	cyan
C2CD4A	grey	grey
LRP5L	tan	tan
SFTA2	grey	grey
KCNAB1	turquoise	turquoise
WEE1	blue	cyan
PKDCC	grey	grey
TNFAIP2	grey	grey
ERLIN2	blue	cyan
PSMB9	lightcyan	lightcyan
NT5C3B	grey	grey
MDFIC	turquoise	turquoise
PIEZO1	yellow	cyan
AGMO	grey	grey
UQCR11	grey	grey
LACTB2	brown	brown
SLC25A15	black	cyan
SLC11A1	magenta	magenta
CCDC74A	pink	turquoise
EDC3	black	cyan
TM6SF2	grey	grey
BRD2	black	cyan
SLC38A2	blue	cyan
RANBP9	blue	cyan
PHACTR2	blue	cyan
HTR2B	turquoise	turquoise
WDFY3	blue	cyan
PORCN	grey	grey
BCL11A	grey	grey
ZNF737	grey	grey
G0S2	magenta	magenta
RNF150	turquoise	turquoise
AGGF1	salmon	cyan
IRF5	red	magenta
PWWP3A	yellow	cyan
IGSF23	grey	grey
HNRNPA1	brown	brown
HLA-DOA	magenta	magenta
RASSF8	turquoise	turquoise
PSME1	lightcyan	lightcyan
FBXO34	blue	cyan
LRRC17	pink	turquoise
ZNF469	pink	turquoise
TMEM8B	turquoise	turquoise
FAM20C	pink	turquoise
CTSB	magenta	magenta
INO80C	grey	grey
HEY1	pink	turquoise
SSPN	turquoise	turquoise
RASSF6	grey	grey
OTC	grey	grey
FBXW5	brown	brown
FASN	black	cyan
BRD3OS	turquoise	turquoise
CXXC4	grey	grey
GPALPP1	blue	cyan
C17orf107	purple	turquoise
ZNF182	blue	cyan
MS4A1	red	magenta
ZCCHC2	yellow	cyan
MGRN1	yellow	cyan
NXF1	yellow	cyan
ZNF521	purple	turquoise
AUNIP	brown	brown
ZNF579	cyan	cyan
TM4SF5	grey	grey
SF3A2	black	cyan
WBP11	green	cyan
ESRRA	midnightblue	midnightblue
AGPAT2	midnightblue	midnightblue
FAM200A	blue	cyan
SPRR3	grey	grey
SIX1	grey	grey
CD1D	red	magenta
HIF1A	blue	cyan
TOP1MT	midnightblue	midnightblue
EFCAB14	blue	cyan
NAT2	grey	grey
SLC22A4	grey	grey
R3HDM4	black	cyan
IQCK	grey	grey
CDH1	green	cyan
RPS5	grey	grey
NUAK2	grey	grey
GJA1	turquoise	turquoise
ZNF827	grey	grey
FAM229B	turquoise	turquoise
DMXL2	blue	cyan
DIAPH1	yellow	cyan
SLC5A9	grey	grey
CHRNA7	grey	grey
USP27X	grey	grey
OGN	turquoise	turquoise
MOGS	brown	brown
SPSB2	grey	grey
OSBPL10	yellow	cyan
CLINT1	salmon	cyan
GMCL1	green	cyan
SVIP	grey	grey
CLCN7	yellow	cyan
PTPRG	blue	cyan
PITPNM1	yellow	cyan
